NL,OCL,Tag,,,
" The attribute CardID of the object bankcard became cardid
  The attribute CardStatus of the object bankcard became cardstatus
  The attribute Catalog of the object bankcard became catalog
  The attribute Password of the object bankcard became password
  The attribute Balance of the object bankcard became balance
  The return value was true","   bankcard.CardID = cardid and
   bankcard.CardStatus = cardstatus and
   bankcard.Catalog = catalog and
   bankcard.Password = password and
   bankcard.Balance = balance and
   result = true
","Postcondition
","Generate OCL : The attribute CardID of the object bankcard became cardid
  The attribute CardStatus of the object bankcard became cardstatus
  The attribute Catalog of the object bankcard became catalog
  The attribute Password of the object bankcard became password
  The attribute Balance of the object bankcard became balance
  The return value was true","Concode OCL : The attribute CardID of the object bankcard became cardid
  The attribute CardStatus of the object bankcard became cardstatus
  The attribute Catalog of the object bankcard became catalog
  The attribute Password of the object bankcard became password
  The attribute Balance of the object bankcard became balance
  The return value was true","Concode OCL : The attribute CardID of the object bankcard became cardid
  The attribute CardStatus of the object bankcard became cardstatus
  The attribute Catalog of the object bankcard became catalog
  The attribute Password of the object bankcard became password
  The attribute Balance of the object bankcard became balance
  The return value was true"
" bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","   bankcard:BankCard = BankCard.allInstance()->any(ban:BankCard | ban.CardID = cardid)
","Definition
","Generate OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid"
" bankcard exists
  The object bankcard is in the instance set of class BankCard","   bankcard.oclIsUndefined() = false and
   BankCard.allInstance()->includes(bankcard)
","Precondition
","Generate OCL : bankcard exists
  The object bankcard is in the instance set of class BankCard","Concode OCL : bankcard exists
  The object bankcard is in the instance set of class BankCard","Concode OCL : bankcard exists
  The object bankcard is in the instance set of class BankCard"
" The object bankcard was deleted from the instance set of class BankCard
  The return value was true","   BankCard.allInstance()->excludes(bankcard) and
   result = true
","Postcondition
","Generate OCL : The object bankcard was deleted from the instance set of class BankCard
  The return value was true","Concode OCL : The object bankcard was deleted from the instance set of class BankCard
  The return value was true","Concode OCL : The object bankcard was deleted from the instance set of class BankCard
  The return value was true"
" user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","   user:User = User.allInstance()->any(use:User | use.UserID = userid)
","Definition
","Generate OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid"
 user doesn't exist,"   user.oclIsUndefined() = true
","Precondition
",Generate OCL : user doesn't exist,Concode OCL : user doesn't exist,Concode OCL : user doesn't exist
" use represented the object of class User
  The object use was created
  The attribute UserID of the object use became userid
  The attribute Name of the object use became name
  The attribute Address of the object use became address
  The object use was put into the instance set of class User
  The return value was true","   let use:User in
   use.oclIsNew() and
   use.UserID = userid and
   use.Name = name and
   use.Address = address and
   User.allInstance()->includes(use) and
   result = true
","Postcondition
","Generate OCL : use represented the object of class User
  The object use was created
  The attribute UserID of the object use became userid
  The attribute Name of the object use became name
  The attribute Address of the object use became address
  The object use was put into the instance set of class User
  The return value was true","Concode OCL : use represented the object of class User
  The object use was created
  The attribute UserID of the object use became userid
  The attribute Name of the object use became name
  The attribute Address of the object use became address
  The object use was put into the instance set of class User
  The return value was true","Concode OCL : use represented the object of class User
  The object use was created
  The attribute UserID of the object use became userid
  The attribute Name of the object use became name
  The attribute Address of the object use became address
  The object use was put into the instance set of class User
  The return value was true"
" user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","   user:User = User.allInstance()->any(use:User | use.UserID = userid)
","Definition
","Generate OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid"
 user exists,"   user.oclIsUndefined() = false
","Precondition
",Generate OCL : user exists,Concode OCL : user exists,Concode OCL : user exists
 The return value was user,"   result = user
","Postcondition
",Generate OCL : The return value was user,Concode OCL : The return value was user,Concode OCL : The return value was user
" user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","   user:User = User.allInstance()->any(use:User | use.UserID = userid)
","Definition
","Generate OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid"
 user exists,"   user.oclIsUndefined() = false
","Precondition
",Generate OCL : user exists,Concode OCL : user exists,Concode OCL : user exists
" The attribute UserID of the object user became userid
  The attribute Name of the object user became name
  The attribute Address of the object user became address
  The return value was true","   user.UserID = userid and
   user.Name = name and
   user.Address = address and
   result = true
","Postcondition
","Generate OCL : The attribute UserID of the object user became userid
  The attribute Name of the object user became name
  The attribute Address of the object user became address
  The return value was true","Concode OCL : The attribute UserID of the object user became userid
  The attribute Name of the object user became name
  The attribute Address of the object user became address
  The return value was true","Concode OCL : The attribute UserID of the object user became userid
  The attribute Name of the object user became name
  The attribute Address of the object user became address
  The return value was true"
" user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","   user:User = User.allInstance()->any(use:User | use.UserID = userid)
","Definition
","Generate OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid","Concode OCL : user is the object use in the instance set of class User. use represents an object of class User, and use meets:
      The attribute UserID of the object use is equal to userid"
" user exists
  The object user is in the instance set of class User","   user.oclIsUndefined() = false and
   User.allInstance()->includes(user)
","Precondition
","Generate OCL : user exists
  The object user is in the instance set of class User","Concode OCL : user exists
  The object user is in the instance set of class User","Concode OCL : user exists
  The object user is in the instance set of class User"
" The object user was deleted from the instance set of class User
  The return value was true","   User.allInstance()->excludes(user) and
   result = true
","Postcondition
","Generate OCL : The object user was deleted from the instance set of class User
  The return value was true","Concode OCL : The object user was deleted from the instance set of class User
  The return value was true","Concode OCL : The object user was deleted from the instance set of class User
  The return value was true"
 The return value was true,"   result = true
","Postcondition
",Generate OCL : The return value was true,Concode OCL : The return value was true,Concode OCL : The return value was true
" sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID","   sto:Store = Store.allInstance()->any(s:Store | s.Id = storeID)
","Definition
","Generate OCL : sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID","Concode OCL : sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID","Concode OCL : sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID"
" sto exists
  The attribute IsOpened of the object sto is equal to false","   sto.oclIsUndefined() = false and
   sto.IsOpened = false
","Precondition
","Generate OCL : sto exists
  The attribute IsOpened of the object sto is equal to false","Concode OCL : sto exists
  The attribute IsOpened of the object sto is equal to false","Concode OCL : sto exists
  The attribute IsOpened of the object sto is equal to false"
" The object currentStore became sto
  The attribute IsOpened of the object sto became true
  The return value was true","   self.currentStore = sto and
   sto.IsOpened = true and
   result = true
","Postcondition
","Generate OCL : The object currentStore became sto
  The attribute IsOpened of the object sto became true
  The return value was true","Concode OCL : The object currentStore became sto
  The attribute IsOpened of the object sto became true
  The return value was true","Concode OCL : The object currentStore became sto
  The attribute IsOpened of the object sto became true
  The return value was true"
" sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID","   sto:Store = Store.allInstance()->any(s:Store | s.Id = storeID)
","Definition
","Generate OCL : sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID","Concode OCL : sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID","Concode OCL : sto is the object s in the instance set of class Store. s represents an object of class Store, and s meets:
      The attribute Id of the object s is equal to storeID"
" sto exists
  The attribute IsOpened of the object sto is equal to true","   sto.oclIsUndefined() = false and
   sto.IsOpened = true
","Precondition
","Generate OCL : sto exists
  The attribute IsOpened of the object sto is equal to true","Concode OCL : sto exists
  The attribute IsOpened of the object sto is equal to true","Concode OCL : sto exists
  The attribute IsOpened of the object sto is equal to true"
" The attribute IsOpened of the object sto became false
  The return value was true","   sto.IsOpened = false and
   result = true
","Postcondition
","Generate OCL : The attribute IsOpened of the object sto became false
  The return value was true","Concode OCL : The attribute IsOpened of the object sto became false
  The return value was true","Concode OCL : The attribute IsOpened of the object sto became false
  The return value was true"
" cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID","   cd:CashDesk = CashDesk.allInstance()->any(s:CashDesk | s.Id = cashDeskID)
","Definition
","Generate OCL : cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID","Concode OCL : cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID","Concode OCL : cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID"
" cd exists
  The attribute IsOpened of the object cd is equal to false
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true","   cd.oclIsUndefined() = false and
   cd.IsOpened = false and
   currentStore.oclIsUndefined() = false and
   currentStore.IsOpened = true
","Precondition
","Generate OCL : cd exists
  The attribute IsOpened of the object cd is equal to false
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true","Concode OCL : cd exists
  The attribute IsOpened of the object cd is equal to false
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true","Concode OCL : cd exists
  The attribute IsOpened of the object cd is equal to false
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true"
" The object currentCashDesk became cd
  The attribute IsOpened of the object cd became true
  The return value was true","   self.currentCashDesk = cd and
   cd.IsOpened = true and
   result = true
","Postcondition
","Generate OCL : The object currentCashDesk became cd
  The attribute IsOpened of the object cd became true
  The return value was true","Concode OCL : The object currentCashDesk became cd
  The attribute IsOpened of the object cd became true
  The return value was true","Concode OCL : The object currentCashDesk became cd
  The attribute IsOpened of the object cd became true
  The return value was true"
" cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID","   cd:CashDesk = CashDesk.allInstance()->any(s:CashDesk | s.Id = cashDeskID)
","Definition
","Generate OCL : cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID","Concode OCL : cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID","Concode OCL : cd is the object s in the instance set of class CashDesk. s represents an object of class CashDesk, and s meets:
      The attribute Id of the object s is equal to cashDeskID"
" cd exists
  The attribute IsOpened of the object cd is equal to true
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true","   cd.oclIsUndefined() = false and
   cd.IsOpened = true and
   currentStore.oclIsUndefined() = false and
   currentStore.IsOpened = true
","Precondition
","Generate OCL : cd exists
  The attribute IsOpened of the object cd is equal to true
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true","Concode OCL : cd exists
  The attribute IsOpened of the object cd is equal to true
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true","Concode OCL : cd exists
  The attribute IsOpened of the object cd is equal to true
  currentStore exists
  The attribute IsOpened of the object currentStore is equal to true"
" The object currentCashDesk became cd
  The attribute IsOpened of the object cd became false
  The return value was true","   self.currentCashDesk = cd and
   cd.IsOpened = false and
   result = true
","Postcondition
","Generate OCL : The object currentCashDesk became cd
  The attribute IsOpened of the object cd became false
  The return value was true","Concode OCL : The object currentCashDesk became cd
  The attribute IsOpened of the object cd became false
  The return value was true","Concode OCL : The object currentCashDesk became cd
  The attribute IsOpened of the object cd became false
  The return value was true"
