NL,OCL,"2~458出自UML文档，459~473出自SysML文档,474~485出自pssm,486~509出自出自博士论文：Using patterns to develop consistent design constraints, Wahler, Michael S.，510~511出自pssm,512~552出自fuml,553~623出自网站https://wiki.xmldation.com/User_Guides/Studio/5%3A_OCL_Rules"
A PackageableElement owned by a Namespace must have a visibility.,visibility = null implies namespace = null,
Each parameterSubstitution must refer to a formal TemplateParameter of the target TemplateSignature.,parameterSubstitution->forAll(b | signature.parameter->includes(b.formal)),
A TemplateBiinding contains at most one TemplateParameterSubstitution for each formal TemplateParameter of the target TemplateSignature.,signature.parameter->forAll(p | parameterSubstitution->select(b | b.formal = p)->size() <= 1),
The default must be compatible with the formal TemplateParameter,default <> null implies default.isCompatibleWith(parameteredElement),
"The actual ParameterableElement must be compatible with the formal TemplateParameter, e.g., the actual ParameterableElement for a Class TemplateParameter must be a Class.",actual->forAll(a | a.isCompatibleWith(formal.parameteredElement)),
Parameters must own the ParameterableElements they parameter or those ParameterableElements must be owned by the TemplateableElement being templated.,template.ownedElement->includesAll(parameter.parameteredElement->asSet() - parameter.ownedParameteredElement->asSet()),
The names of the parameters of a TemplateSignature are unique.,"parameter->forAll( p1, p2 | (p1 <> p2 and p1.parameteredElement.oclIsKindOf(NamedElement) and p2.parameteredElement.oclIsKindOf(NamedElement) ) implies p1.parameteredElement.oclAsType(NamedElement).name <> p2.parameteredElement.oclAsType(NamedElement).name)",
"If a Duration has no expr, then it must have a single observation that is a DurationObservation.",expr = null implies (observation->size() = 1 and observation->forAll(oclIsKindOf(DurationObservation))),
The multiplicity of firstEvent must be 2 if the multiplicity of constrainedElement is 2. Otherwise the multiplicity of firstEvent is 0.,if (constrainedElement->size() = 2) then (firstEvent->size() = 2) else (firstEvent->size() = 0) endif,
A DurationConstraint has either one or two constrainedElements,constrainedElement->size() = 1 or constrainedElement->size()=2,
The multiplicity of firstEvent must be 2 if the multiplicity of event is 2. Otherwise the multiplicity of firstEvent is 0.,if (event->size() = 2) then (firstEvent->size() = 2) else (firstEvent->size() = 0) endif,
"If the language attribute is not empty, then the size of the body and language arrays must be the same.",language->notEmpty() implies (_'body'->size() = language->size()),
The behavior must have exactly one return result parameter.,behavior <> null implies behavior.ownedParameter->select(direction=ParameterDirectionKind::return)->size() = 1,
The behavior may only have non-stream in or return parameters.,behavior <> null implies behavior.ownedParameter->forAll(not isStream and (direction=ParameterDirectionKind::in or direction=ParameterDirectionKind::return)),
All the operands of a StringExpression must be LiteralStrings,operand->forAll (oclIsKindOf (LiteralString)),
"If a StringExpression has sub-expressions, it cannot have operands and vice versa (this avoids the problem of having to define a collating sequence between operands and subexpressions).",if subExpression->notEmpty() then operand->isEmpty() else operand->notEmpty() endif,
A TimeConstraint has one constrainedElement.,constrainedElement->size() = 1,
"If a TimeExpression has no expr, then it must have a single observation that is a TimeObservation.",expr = null implies (observation->size() = 1 and observation- >forAll(oclIsKindOf(TimeObservation))),
When isAbstract is true there are no methods.,isAbstract implies method->isEmpty(),
A Classifier may only specialize Classifiers of a valid type.,parents()->forAll(c | self.maySpecializeType(c)),
"The Classifier that maps to a GeneralizationSet may neither be a specific nor a general Classifier in any of the Generalization relationships defined for that GeneralizationSet. In other words, a power type may not be an instance of itself nor may its instances also be its subclasses.",powertypeExtent->forAll( gs | gs.generalization->forAll( gen | not (gen.general = self) and not gen.general.allParents()->includes(self) and not (gen.specific = self) and not self.allParents()->includes(gen.specific))),
The parents of a Classifier must be non-final.,parents()->forAll(not isFinalSpecialization),
Generalization hierarchies must be directed and acyclical. A Classifier can not be both a transitively general and transitively specific Classifier of the same Classifier.,not allParents()->includes(self),
"If allowSubstitutable is true, then there must be a constrainingClassifier.",allowSubstitutable implies constrainingClassifier->notEmpty(),
"The parameteredElement has no direct features, and if constrainedElement is empty it has no generalizations.",parameteredElement.feature->isEmpty() and (constrainingClassifier->isEmpty() implies parameteredElement.allParents()->isEmpty()),
"If the parameteredElement is not abstract, then the Classifier used as an argument shall not be abstract.",(not parameteredElement.isAbstract) implies templateParameterSubstitution.actual- >forAll(a | not a.oclAsType(Classifier).isAbstract),
The argument to a ClassifierTemplateParameter is a Classifier.,templateParameterSubstitution.actual->forAll(a | a.oclIsKindOf(Classifier)),
"If there are any constrainingClassifiers, then every argument must be the same as or a specialization of them, or if allowSubstitutable is true, then it can also be substitutable.",templateParameterSubstitution.actual->forAll( a | let arg : Classifier = a.oclAsType(Classifier) in constrainingClassifier->forAll( cc | arg = cc or arg.conformsTo(cc) or (allowSubstitutable and arg.isSubstitutableFor(cc)) ) ),
"If there are any constrainingClassifiers, then the parameteredElement must be the same as or a specialization of them, or if allowSubstitutable is true, then it can also be substitutable.",constrainingClassifier->forAll( cc | parameteredElement = cc or parameteredElement.conformsTo(cc) or (allowSubstitutable and parameteredElement.isSubstitutableFor(cc)) ),
Every Generalization associated with a particular GeneralizationSet must have the same general Classifier.,generalization->collect(general)->asSet()->size() <= 1,
"The Classifier that maps to a GeneralizationSet may neither be a specific nor a general Classifier in any of the Generalization relationships defined for that GeneralizationSet. In other words, a power type may not be an instance of itself nor may its instances be its subclasses.",powertype <> null implies generalization->forAll( gen | not (gen.general = powertype) and not gen.general.allParents()->includes(powertype) and not (gen.specific = powertype) and not powertype.allParents()->includes(gen.specific) ),
An InstanceSpecification can act as a DeployedArtifact if it represents an instance of an Artifact.,deploymentForArtifact->notEmpty() implies classifier->exists(oclIsKindOf(Artifact)),
No more than one slot in an InstanceSpecification may have the same definingFeature.,classifier->forAll(c | (c.allSlottableFeatures()->forAll(f | slot->select(s | s.definingFeature = f)->size() <= 1))),
"The definingFeature of each slot is a StructuralFeature related to a classifier of the InstanceSpecification, including direct attributes, inherited attributes, private attributes in generalizations, and memberEnds of Associations, but excluding redefined StructuralFeatures.",slot->forAll(s | classifier->exists (c | c.allSlottableFeatures()->includes (s.definingFeature))),
An InstanceSpecification can act as a DeploymentTarget if it represents an instance of a Node and functions as a part in the internal structure of an encompassing Node.,deployment->notEmpty() implies classifier->exists(node | node.oclIsKindOf(Node) and Node.allInstances()->exists(n | n.part->exists(p | p.type = node))),
"An Operation can have at most one return parameter; i.e., an owned parameter with the direction set to 'return.'",self.ownedParameter->select(direction = ParameterDirectionKind::return)->size() <= 1,
A bodyCondition can only be specified for a query Operation.,bodyCondition <> null implies isQuery,
"Only in and inout Parameters may have a delete effect. Only out, inout, and return Parameters may have a create effect.",(effect = ParameterEffectKind::delete implies (direction = ParameterDirectionKind::_'in' or direction = ParameterDirectionKind::inout)) and (effect = ParameterEffectKind::create implies (direction = ParameterDirectionKind::out or direction = ParameterDirectionKind::inout or direction = ParameterDirectionKind::return)),
An input Parameter cannot be an exception.,isException implies (direction <> ParameterDirectionKind::_'in' and direction <> ParameterDirectionKind::inout),
A Parameter may only be associated with a Connector end within the context of a Collaboration.,end->notEmpty() implies collaboration->notEmpty(),
Reentrant behaviors cannot have stream Parameters.,(isStream and behavior <> null) implies not behavior.isReentrant,
A Parameter cannot be a stream and exception at the same time.,not (isException and isStream),
Parameters typed by DataTypes cannot have an effect.,(type.oclIsKindOf(DataType)) implies (effect = null),
"The Parameters in a ParameterSet must all be inputs or all be outputs of the same parameterized entity, and the ParameterSet is owned by that entity.","parameter->forAll(p1, p2 | self.owner = p1.owner and self.owner = p2.owner and p1.direction = p2.direction)",
"If a parameterized entity has input Parameters that are in a ParameterSet, then any inputs that are not in a ParameterSet must be streaming. Same for output Parameters.",((parameter->exists(direction = ParameterDirectionKind::_'in')) implies behavioralFeature.ownedParameter->select(p | p.direction = ParameterDirectionKind::_'in' and p.parameterSet->isEmpty())->forAll(isStream)) and ((parameter->exists(direction = ParameterDirectionKind::out)) implies behavioralFeature.ownedParameter->select(p | p.direction = ParameterDirectionKind::out and p.parameterSet->isEmpty())->forAll(isStream)),
Two ParameterSets cannot have exactly the same set of Parameters.,"parameter->forAll(parameterSet->forAll(s1, s2 | s1->size() = s2->size() implies s1.parameter->exists(p | not s2.parameter->includes(p))))",
Subsetting may only occur when the context of the subsetting property conforms to the context of the subsetted property.,subsettedProperty->notEmpty() implies (subsettingContext()->notEmpty() and subsettingContext()->forAll (sc | subsettedProperty->forAll(sp |sp.subsettingContext()->exists(c | sc.conformsTo(c))))),
A derived union is read only.,isDerivedUnion implies isReadOnly,
A multiplicity on the composing end of a composite aggregation must not have an upper bound greater than 1.,isComposite and association <> null implies opposite.upperBound() <= 1,
A redefined Property must be inherited from a more general Classifier.,(redefinedProperty->notEmpty()) implies (redefinitionContext->notEmpty() and redefinedProperty->forAll(rp| ((redefinitionContext->collect(fc| fc.allParents()))->asSet())->collect(c| c.allFeatures())->asSet()->includes(rp))),
"A subsetting Property may strengthen the type of the subsetted Property, and its upper bound may be less.",subsettedProperty->forAll(sp | self.type.conformsTo(sp.type) and ((self.upperBound()->notEmpty() and sp.upperBound()->notEmpty()) implies self.upperBound() <= sp.upperBound() )),
A binding of a PropertyTemplateParameter representing an attribute must be to an attribute.,(self.isAttribute() and (templateParameterSubstitution->notEmpty()) implies (templateParameterSubstitution->forAll(ts | ts.formal.oclIsKindOf(Property) and ts.formal.oclAsType(Property).isAttribute()))),
A derived union is derived.,isDerivedUnion implies isDerived,
A Property can be a DeploymentTarget if it is a kind of Node and functions as a part in the internal structure of an encompassing Node.,deployment->notEmpty() implies owner.oclIsKindOf(Node) and Node.allInstances()- >exists(n | n.part->exists(p | p = self)),
A Property may not subset a Property with the same name.,subsettedProperty->forAll(sp | sp.name <> name),
"If a Property is a classifier-owned end of a binary Association, its owner must be the type of the opposite end.",(opposite->notEmpty() and owningAssociation->isEmpty()) implies classifier = opposite.type,
All qualified Properties must be Association ends,qualifier->notEmpty() implies association->notEmpty(),
A redefining element must be consistent with each redefined element.,redefinedElement->forAll(re | re.isConsistentWith(self)),
A RedefinableElement can only redefine non-leaf RedefinableElements.,redefinedElement->forAll(re | not re.isLeaf),
At least one of the redefinition contexts of the redefining element must be a specialization of at least one of the redefinition contexts for each redefined element.,redefinedElement->forAll(re | self.isRedefinitionContextValid(re)),
"If any of the parent Classifiers are a template, then the extendedSignature must include the signature of that Classifier.",classifier.allParents()->forAll(c | c.ownedTemplateSignature->notEmpty() implies self->closure(extendedSignature)->includes(c.ownedTemplateSignature)),
"If a behavior is classifier behavior, it does not have a specification.",classifierBehavior->notEmpty() implies classifierBehavior.specification->isEmpty(),
immutable,ownedAttribute->forAll(isReadOnly),
The visibility of all Features owned by an Interface must be public.,feature->forAll(visibility = VisibilityKind::public),
A Reception has the same name as its signal,name = signal.name,
"A Reception's parameters match the ownedAttributes of its signal by name, type, and multiplicity",signal.ownedAttribute->size() = ownedParameter->size() and Sequence{1..signal.ownedAttribute->size()}->forAll( i | ownedParameter->at(i).direction = ParameterDirectionKind::_'in' and ownedParameter->at(i).name = signal.ownedAttribute->at(i).name and ownedParameter->at(i).type = signal.ownedAttribute >at(i).type and ownedParameter->at(i).lowerBound() = signal.ownedAttribute->at(i).lowerBound() and ownedParameter->at(i).upperBound() = signal.ownedAttribute->at(i).upperBound()),
An Association specializing another Association has the same number of ends as the other Association.,parents()->select(oclIsKindOf(Association)).oclAsType(Association)->forAll(p | p.memberEnd->size() = self.memberEnd->size()),
"When an Association specializes another Association, every end of the specific Association corresponds to an end of the general Association, and the specific end reaches the same type or a subtype of the corresponding general end.",Sequence{1..memberEnd->size()}-> forAll(i | general->select(oclIsKindOf(Association)).oclAsType(Association)-> forAll(ga | self.memberEnd->at(i).type.conformsTo(ga.memberEnd->at(i).type))),
Only binary Associations can be aggregations.,memberEnd->exists(aggregation <> AggregationKind::none) implies (memberEnd->size() = 2 and memberEnd->exists(aggregation = AggregationKind::none)),
Ends of Associations with more than two ends must be owned by the Association itself.,memberEnd->size() > 2 implies ownedEnd->includesAll(memberEnd),
An AssociationClass cannot be defined between itself and something else.,self.endType()->excludes(self) and self.endType()->collect(et| et.oclAsType(Classifier).allParents())->flatten()->excludes(self),
The owned attributes and owned ends of an AssociationClass are disjoint.,ownedAttribute->intersection(ownedEnd)->isEmpty(),
Only an active Class may own Receptions and have a classifierBehavior.,not isActive implies (ownedReception->isEmpty() and classifierBehavior = null),
All the client elements of a roleBinding are in one Classifier and all supplier elements of a roleBinding are in one Collaboration.,"roleBinding->collect(client)->forAll(ne1, ne2 |
ne1.oclIsKindOf(ConnectableElement) and ne2.oclIsKindOf(ConnectableElement) and
let ce1 : ConnectableElement = ne1.oclAsType(ConnectableElement), ce2 :
ConnectableElement = ne2.oclAsType(ConnectableElement) in
ce1.structuredClassifier = ce2.structuredClassifier)
and
roleBinding->collect(supplier)->forAll(ne1, ne2 |
ne1.oclIsKindOf(ConnectableElement) and ne2.oclIsKindOf(ConnectableElement) and
let ce1 : ConnectableElement = ne1.oclAsType(ConnectableElement), ce2 :
ConnectableElement = ne2.oclAsType(ConnectableElement) in
ce1.collaboration = ce2.collaboration)",
Every collaborationRole in the Collaboration is bound within the CollaborationUse.,type.collaborationRole->forAll(role | roleBinding->exists(rb | rb.supplier->includes(role))),
"Connectors in a Collaboration typing a CollaborationUse must have corresponding Connectors between elements bound in the context Classifier, and these corresponding Connectors must have the same or more general type than the Collaboration Connectors.","type.ownedConnector->forAll(connector |
let rolesConnectedInCollab : Set(ConnectableElement) = connector.end.role->asSet(),
relevantBindings : Set(Dependency) = roleBinding->select(rb | rb.supplier-
>intersection(rolesConnectedInCollab)->notEmpty()),
boundRoles : Set(ConnectableElement) = relevantBindings-
>collect(client.oclAsType(ConnectableElement))->asSet(),
contextClassifier : StructuredClassifier = boundRoles-
>any(true).structuredClassifier->any(true) in
contextClassifier.ownedConnector->exists( correspondingConnector |
correspondingConnector.end.role->forAll( role | boundRoles->includes(role) )
and (connector.type->notEmpty() and correspondingConnector.type->notEmpty())
implies connector.type->forAll(conformsTo(correspondingConnector.type)) )
)",
A Component cannot nest Classifiers.,nestedClassifier->isEmpty(),
A Component nested in a Class cannot have any packaged elements.,nestingClass <> null implies packagedElement->isEmpty(),
"The types of the ConnectableElements that the ends of a Connector are attached to must conform to the types of the ends of the Association that types the Connector, if any.","type<>null implies
let noOfEnds : Integer = end->size() in
(type.memberEnd->size() = noOfEnds) and Sequence{1..noOfEnds}->forAll(i | end-
>at(i).role.type.conformsTo(type.memberEnd->at(i).type))",
"The ConnectableElements attached as roles to each ConnectorEnd owned by a Connector must be owned or inherited roles of the Classifier that owned the Connector, or they must be Ports of such roles.","structuredClassifier <> null
and
end->forAll( e | structuredClassifier.allRoles()->includes(e.role)
or
e.role.oclIsKindOf(Port) and structuredClassifier.allRoles()->includes(e.partWithPort))",
"If a ConnectorEnd references a partWithPort, then the role must be a Port that is defined or inherited by the type of the partWithPort.","partWithPort->notEmpty() implies
(role.oclIsKindOf(Port) and partWithPort.type.oclAsType(Namespace).member->includes(role))",
"If a ConnectorEnd is attached to a Port of the containing Classifier, partWithPort will be empty.",(role.oclIsKindOf(Port) and role.owner = connector.owner) implies partWithPort->isEmpty(),
"The multiplicity of the ConnectorEnd may not be more general than the multiplicity of the corresponding end of the Association typing the owning Connector, if any.",self.compatibleWith(definingEnd),
The Property held in self.partWithPort must not be a Port.,partWithPort->notEmpty() implies not partWithPort.oclIsKindOf(Port),
Port.aggregation must be composite.,aggregation = AggregationKind::composite,
A defaultValue for port cannot be specified when the type of the Port is an Interface.,type.oclIsKindOf(Interface) implies defaultValue->isEmpty(),
All Ports are owned by an EncapsulatedClassifier.,owner = encapsulatedClassifier,
The non-owned end of an Extension is typed by a Class.,metaclassEnd()->notEmpty() and metaclassEnd().type.oclIsKindOf(Class),
"An Extension is binary, i.e., it has only two memberEnds.",memberEnd->size() = 2,
The multiplicity of ExtensionEnd is 0..1 or 1.,(lowerBound() = 0 or lowerBound() = 1) and upperBound() = 1,
The aggregation of an ExtensionEnd is composite.,self.aggregation = AggregationKind::composite,
The non-owned end of an Extension is typed by a Class.,metaclassEnd()->notEmpty() and metaclassEnd().type.oclIsKindOf(Class),
"An Extension is binary, i.e., it has only two memberEnds.",memberEnd->size() = 2,
The multiplicity of ExtensionEnd is 0..1 or 1.,(lowerBound() = 0 or lowerBound() = 1) and upperBound() = 1,
The aggregation of an ExtensionEnd is composite.,self.aggregation = AggregationKind::composite,
"If an element that is owned by a package has visibility, it is public or private.","packagedElement->forAll(e | e.visibility<> null implies e.visibility =
VisibilityKind::public or e.visibility = VisibilityKind::private)",
An element imported as a metaclassReference is not specialized or generalized in a Profile.,"metaclassReference.importedElement->
select(c | c.oclIsKindOf(Classifier) and
(c.oclAsType(Classifier).allParents()->collect(namespace)->includes(self)))-
>isEmpty()
and
packagedElement->
select(oclIsKindOf(Classifier))->collect(oclAsType(Classifier).allParents())->
intersection(metaclassReference.importedElement->select(oclIsKindOf(Classifier))-
>collect(oclAsType(Classifier)))->isEmpty()",
All elements imported either as metaclassReferences or through metamodelReferences are members of the same base reference metamodel.,"metamodelReference.importedPackage.elementImport.importedElement.allOwningPackages()->
union(metaclassReference.importedElement.allOwningPackages() )->notEmpty()",
Stereotypes may only participate in binary associations.,ownedAttribute.association->forAll(memberEnd->size()=2),
A Stereotype may only generalize or specialize another Stereotype.,"allParents()->forAll(oclIsKindOf(Stereotype))
and Classifier.allInstances()->forAll(c | c.allParents()->exists(oclIsKindOf(Stereotype))
implies c.oclIsKindOf(Stereotype))",
"Where a stereotype’s property is an association end for an association other than a kind of extension, and the other end is not a stereotype, the other end must be owned by the association itself.","ownedAttribute
->select(association->notEmpty() and not association.oclIsKindOf(Extension) and not
type.oclIsKindOf(Stereotype))
->forAll(opposite.owner = association)",
There may be at most one Behavior for a given pairing of BehavioredClassifier (as owner of the Behavior) and BehavioralFeature (as specification of the Behavior).,"specification <> null implies _'context'.ownedBehavior-
>select(specification=self.specification)->size() = 1",
"If a Behavior has a specification BehavioralFeature, then it must have the same number of ownedParameters as
its specification. The Behavior Parameters must also ""match"" the BehavioralParameter Parameters, but the
exact requirements for this matching are not formalized.","specification <> null implies ownedParameter->size() = specification.ownedParameter-
>size()",
"The specification BehavioralFeature must be a feature (possibly inherited) of the context BehavioredClassifier
of the Behavior.", _'context'.feature->includes(specification),
A FunctionBehavior has at least one output Parameter.,"self.ownedParameter->
select(p | p.direction = ParameterDirectionKind::out or p.direction=
ParameterDirectionKind::inout or p.direction= ParameterDirectionKind::return)->size() >= 1",
"The types of the ownedParameters are all DataTypes, which may not nest anything but other DataTypes.","ownedParameter->forAll(p | p.type <> null and
p.type.oclIsTypeOf(DataType) and hasAllDataTypeAttributes(p.type.oclAsType(DataType)))",
The ValueSpecification when must return a non-negative Integer.,when.integerValue() >= 0,
"If a Trigger specifies one or more ports, the event of the Trigger must be a MessageEvent.",port->notEmpty() implies event.oclIsKindOf(MessageEvent),
The exit Pseudostates must be Pseudostates with kind exitPoint.,exit->forAll(kind = PseudostateKind::exitPoint),
The entry Pseudostates must be Pseudostates with kind entryPoint.,entry->forAll(kind = PseudostateKind::entryPoint),
A FinalState has no exit Behavior.,exit->isEmpty(),
A FinalState cannot have any outgoing Transitions.,outgoing->size() = 0,
A FinalState cannot have Regions.,region->size() = 0,
A FinalState cannot reference a submachine.,submachine->isEmpty(),
A FinalState has no entry Behavior.,entry->isEmpty(),
A FinalState has no state (doActivity) Behavior.,doActivity->isEmpty(),
"A ProtocolStateMachine must only have a Classifier context, not a BehavioralFeature context.",_'context' <> null and specification = null,
ProtocolStateMachines cannot have deep or shallow history Pseudostates.,"region->forAll (r | r.subvertex->forAll (v | v.oclIsKindOf(Pseudostate) implies
((v.oclAsType(Pseudostate).kind <> PseudostateKind::deepHistory) and
(v.oclAsType(Pseudostate).kind <> PseudostateKind::shallowHistory))))",
"The states of a ProtocolStateMachine cannot have entry, exit, or do activity Behaviors.","region->forAll(r | r.subvertex->forAll(v | v.oclIsKindOf(State) implies
(v.oclAsType(State).entry->isEmpty() and v.oclAsType(State).exit->isEmpty() and
v.oclAsType(State).doActivity->isEmpty())))",
All Transitions of a ProtocolStateMachine must be ProtocolTransitions.,region->forAll(r | r.transition->forAll(t | t.oclIsTypeOf(ProtocolTransition))),
"If a ProtocolTransition refers to an Operation (i.e., has a CallEvent trigger corresponding to an Operation), then
that Operation should apply to the context Classifier of the StateMachine of the ProtocolTransition.","if (referred()->notEmpty() and containingStateMachine()._'context'->notEmpty()) then
containingStateMachine()._'context'.oclAsType(BehavioredClassifier).allFeatures()-
>includesAll(referred())
else true endif",
A ProtocolTransition never has associated Behaviors,effect = null,
A ProtocolTransition always belongs to a ProtocolStateMachine.,container.belongsToPSM(),
All transitions outgoing a fork vertex must target states in different regions of an orthogonal state.,"(kind = PseudostateKind::fork) implies
-- for any pair of outgoing transitions there exists an orthogonal state which contains the
targets of these transitions
-- such that these targets belong to different regions of that orthogonal state
outgoing->forAll(t1:Transition, t2:Transition | let contState:State =
containingStateMachine().LCAState(t1.target, t2.target) in
((contState <> null) and (contState.region
->exists(r1:Region, r2: Region | (r1 <> r2) and t1.target.isContainedInRegion(r1)
and t2.target.isContainedInRegion(r2)))))",
"In a complete statemachine, a choice Vertex must have at least one incoming and one outgoing Transition.","(kind = PseudostateKind::choice) implies (incoming->size() >= 1 and outgoing->size() >=
1)",
"The outgoing Transition from an initial vertex may have a behavior, but not a trigger or a guard.","(kind = PseudostateKind::initial) implies (outgoing.guard = null and outgoing.trigger-
>isEmpty())",
"In a complete StateMachine, a join Vertex must have at least two incoming Transitions and exactly one
outgoing Transition.",(kind = PseudostateKind::join) implies (outgoing->size() = 1 and incoming->size() >= 2),
"In a complete StateMachine, a junction Vertex must have at least one incoming and one outgoing Transition.","(kind = PseudostateKind::junction) implies (incoming->size() >= 1 and outgoing->size()
>= 1)",
History Vertices can have at most one outgoing Transition.,"((kind = PseudostateKind::deepHistory) or (kind = PseudostateKind::shallowHistory))
implies (outgoing->size() <= 1)",
An initial Vertex can have at most one outgoing Transition.,(kind = PseudostateKind::initial) implies (outgoing->size() <= 1),
"In a complete StateMachine, a fork Vertex must have at least two outgoing Transitions and exactly one
incoming Transition.",(kind = PseudostateKind::fork) implies (incoming->size() = 1 and outgoing->size() >= 2),
All Transitions incoming a join Vertex must originate in different Regions of an orthogonal State.,"(kind = PseudostateKind::join) implies
-- for any pair of incoming transitions there exists an orthogonal state which contains the
source vetices of these transitions
-- such that these source vertices belong to different regions of that orthogonal state
incoming->forAll(t1:Transition, t2:Transition | let contState:State =
containingStateMachine().LCAState(t1.source, t2.source) in
((contState <> null) and (contState.region
->exists(r1:Region, r2: Region | (r1 <> r2) and t1.source.isContainedInRegion(r1)
and t2.source.isContainedInRegion(r2)))))",
A Region can have at most one deep history Vertex.,"self.subvertex->select (oclIsKindOf(Pseudostate))->collect(oclAsType(Pseudostate))->
select(kind = PseudostateKind::deepHistory)->size() <= 1",
A Region can have at most one shallow history Vertex.,"subvertex->select(oclIsKindOf(Pseudostate))->collect(oclAsType(Pseudostate))->
select(kind = PseudostateKind::shallowHistory)->size() <= 1",
"If a Region is owned by a StateMachine, then it cannot also be owned by a State and vice versa.","(stateMachine <> null implies state = null) and (state <> null implies stateMachine =
null)",
A Region can have at most one initial Vertex.,"self.subvertex->select (oclIsKindOf(Pseudostate))->collect(oclAsType(Pseudostate))->
select(kind = PseudostateKind::initial)->size() <= 1",
Only entry or exit Pseudostates can serve as connection points.,"connectionPoint->forAll(kind = PseudostateKind::entryPoint or kind =
PseudostateKind::exitPoint)",
Only submachine States can have connection point references.,isSubmachineState implies connection->notEmpty( ) ,
Only composite States can have entry or exit Pseudostates defined.,connectionPoint->notEmpty() implies isComposite,
"The connection point references used as destinations/sources of Transitions associated with a submachine State
must be defined as entry/exit points in the submachine StateMachine.","self.isSubmachineState implies (self.connection->forAll (cp |
cp.entry->forAll (ps | ps.stateMachine = self.submachine) and
cp.exit->forAll (ps | ps.stateMachine = self.submachine)))",
A State is not allowed to have both a submachine and Regions.,isComposite implies not isSubmachineState,
The connection points of a StateMachine are Pseudostates of kind entry point or exit point.,"connectionPoint->forAll (kind = PseudostateKind::entryPoint or kind =
PseudostateKind::exitPoint)",
The Classifier context of a StateMachine cannot be an Interface.,_'context' <> null implies not _'context'.oclIsKindOf(Interface),
A StateMachine as the method for a BehavioralFeature cannot have entry/exit connection points.,specification <> null implies connectionPoint->isEmpty(),
"The context Classifier of the method StateMachine of a BehavioralFeature must be the Classifier that owns the
BehavioralFeature.","specification <> null implies ( _'context' <> null and
specification.featuringClassifier->exists(c | c = _'context'))",
A Transition with kind external can source any Vertex except entry points.,"(kind = TransitionKind::external) implies
not (source.oclIsKindOf(Pseudostate) and source.oclAsType(Pseudostate).kind =
PseudostateKind::entryPoint)",
A join segment must not have Guards or Triggers.,"(target.oclIsKindOf(Pseudostate) and target.oclAsType(Pseudostate).kind =
PseudostateKind::join) implies (guard = null and trigger->isEmpty())",
"A Transition with kind internal must have a State as its source, and its source and target must be equal.","(kind = TransitionKind::internal) implies
(source.oclIsKindOf (State) and source = target)",
Transitions outgoing Pseudostates may not have a Trigger.,"source.oclIsKindOf(Pseudostate) and (source.oclAsType(Pseudostate).kind <>
PseudostateKind::initial) implies trigger->isEmpty()",
A join segment must always originate from a State.,"(target.oclIsKindOf(Pseudostate) and target.oclAsType(Pseudostate).kind =
PseudostateKind::join) implies (source.oclIsKindOf(State))",
A fork segment must always target a State.,"(source.oclIsKindOf(Pseudostate) and source.oclAsType(Pseudostate).kind =
PseudostateKind::fork) implies (target.oclIsKindOf(State))",
A Transition with kind local must have a composite State or an entry point as its source.,"(kind = TransitionKind::local) implies
((source.oclIsKindOf (State) and source.oclAsType(State).isComposite) or
(source.oclIsKindOf (Pseudostate) and source.oclAsType(Pseudostate).kind =
PseudostateKind::entryPoint))",
